Provinsi,Outlet
Sumatera Utara,UNIQLO DELIPARK MALL
Sumatera Utara,UNIQLO SUN PLAZA
Riau,UNIQLO LIVING WORLD PEKANBARU
Kepulauan Riau,UNIQLO GRAND BATAM MALL
Jambi,UNIQLO JAMBI TOWN SQUARE
Sumatera Selatan,UNIQLO PALEMBANG ICON
Lampung,UNIQLO MAL BOEMI KEDATON
Daerah Khusus Ibukota Jakarta,UNIQLO AEON MALL JAKARTA GARDEN CITY
Daerah Khusus Ibukota Jakarta,UNIQLO AEON MALL TANJUNG BARAT
Daerah Khusus Ibukota Jakarta,UNIQLO CIPUTRA MALL JAKARTA
Daerah Khusus Ibukota Jakarta,UNIQLO EMPORIUM PLUIT MALL
Daerah Khusus Ibukota Jakarta,UNIQLO GANDARIA CITY
Daerah Khusus Ibukota Jakarta,UNIQLO GRAND INDONESIA
Daerah Khusus Ibukota Jakarta,UNIQLO GREEN SEDAYU MALL
Daerah Khusus Ibukota Jakarta,UNIQLO LA PIAZZA MAL KELAPA GADING
Daerah Khusus Ibukota Jakarta,UNIQLO LIPPO MALL KEMANG
Daerah Khusus Ibukota Jakarta,UNIQLO LIPPO MALL PURI
Daerah Khusus Ibukota Jakarta,UNIQLO LOTTE SHOPPING AVENUE
Daerah Khusus Ibukota Jakarta,UNIQLO MALL OF INDONESIA
Daerah Khusus Ibukota Jakarta,UNIQLO MALL TAMAN ANGGREK
Daerah Khusus Ibukota Jakarta,UNIQLO NEO SOHO
Daerah Khusus Ibukota Jakarta,UNIQLO PIK AVENUE
Daerah Khusus Ibukota Jakarta,UNIQLO PONDOK INDAH MALL
Daerah Khusus Ibukota Jakarta,UNIQLO PONDOK INDAH MALL 3
Daerah Khusus Ibukota Jakarta,UNIQLO SENAYAN CITY
Banten,UNIQLO AEON MALL BSD CITY
Banten,UNIQLO BINTARO JAYA XCHANGE MALL
Banten,UNIQLO LIVING WORLD ALAM SUTERA
Banten,UNIQLO MAL CIPUTRA TANGERANG
Banten,UNIQLO ONE DISTRICT PURI
Banten,UNIQLO SUMMARECON MALL SERPONG
Banten,UNIQLO SUPERMAL KARAWACI
Jawa Barat,UNIQLO 23 PASKAL
Jawa Barat,UNIQLO AEON MALL DELTAMAS
Jawa Barat,UNIQLO AEON MALL SENTUL CITY
Jawa Barat,UNIQLO BOTANI SQUARE MALL
Jawa Barat,UNIQLO CIBINONG CITY MALL
Jawa Barat,UNIQLO CIREBON SUPERBLOCK
Jawa Barat,UNIQLO FESTIVAL CITY LINK BANDUNG
Jawa Barat,UNIQLO GRAND GALAXY PARK
Jawa Barat,(OPENS 21 MAR) UNIQLO GRAND KOTA BINTANG
Jawa Barat,UNIQLO GRAND METROPOLITAN BEKASI
Jawa Barat,UNIQLO HERITAGE BANDUNG
Jawa Barat,UNIQLO HIVE HARAPAN INDAH
Jawa Barat,(OPENS 21 MAR) UNIQLO LIVING WORLD KOTA WISATA
Jawa Barat,UNIQLO MARGOCITY
Jawa Barat,UNIQLO PAKUWON MALL BEKASI
Jawa Barat,UNIQLO PARIS VAN JAVA
Jawa Barat,UNIQLO RESINDA PARK MALL
Jawa Barat,UNIQLO SUMMARECON MALL BANDUNG
Jawa Barat,UNIQLO SUMMARECON MALL BEKASI
Jawa Barat,UNIQLO TRANS STUDIO MALL BANDUNG
Jawa Barat,UNIQLO TRANS STUDIO MALL CIBUBUR
Jawa Tengah,UNIQLO DP MALL
Jawa Tengah,UNIQLO PAKUWON MALL SOLO BARU
Jawa Tengah,UNIQLO QUEEN CITY MALL
Jawa Tengah,UNIQLO SOLO PARAGON MALL
Daerah Istimewa Yogyakarta,UNIQLO PAKUWON MALL JOGJA
Daerah Istimewa Yogyakarta,UNIQLO PLAZA AMBARRUKMO YOGYAKARTA
Jawa Timur,UNIQLO CIPUTRA WORLD SURABAYA
Jawa Timur,UNIQLO GALAXY MALL 3
Jawa Timur,UNIQLO LIPPO PLAZA SIDOARJO
Jawa Timur,(OPENS 14 MAR) UNIQLO PAKUWON CITY MALL
Jawa Timur,UNIQLO PAKUWON MALL
Jawa Timur,UNIQLO TUNJUNGAN PLAZA 3
Jawa Timur,UNIQLO UNIMAS DISTRICT
Bali,UNIQLO BEACHWALK (SHERATON GATE)
Bali,UNIQLO ICON BALI MALL
Bali,UNIQLO LEVEL 21 MALL
Bali,UNIQLO LIVING WORLD DENPASAR
Bali,UNIQLO MAL BALI GALERIA
Nusa Tenggara Barat,UNIQLO LOMBOK EPICENTRUM MALL
Kalimantan Barat,UNIQLO GAIA BUMI RAYA CITY
Kalimantan Selatan,UNIQLO DUTA MALL
Kalimantan Selatan,UNIQLO PENTACITY
Kalimantan Timur,UNIQLO BIG MALL
Sulawesi Utara,UNIQLO MANADO TOWN SQUARE
Sulawesi Selatan,UNIQLO NIPAH MALL
Sulawesi Selatan,UNIQLO TRANS STUDIO MALL MAKASSAR
